"ID";"参照記号";"パッケージ";"数";"名称";"Supplier and ref";
1;"REF4,REF1";"MountingHole_3mm";2;"MountingHole_3mm";;;
2;"U1";"8";1;"EEPROMRFID";;;
3;"C1";"generic-SMD1608";1;"C";;;
4;"P1";"GROVE";1;"CONN_01X04";;;
5;"R1,R2,R3,R4,R5";"generic-SMD1608";5;"R";;;
6;"TP1,TP2";"pinhead-1X01";2;"TEST_1P";;;
